varname	code	name
product	 856	stationary power drills and accessories
product	 857	pliers, wire cutters or wrenches
product	 858	reamers
product	 859	soldering equipment, not specified
product	 862	manual filing or sanding tools
product	 863	other power saws
product	 864	sabre saws
product	 865	portable power workshop grinders, buffers, polishers
product	 866	electric soldering equipment
product	 867	welding equipment, not specified
product	 868	nonelectric soldering equipment
product	 869	glue guns
product	 870	awls, chisels or planes
product	 871	power drills or accessories, not specified
product	 872	power saws, not specified
product	 873	stationary power workshop grinders, buffers, polishers
product	 874	cutting torches
product	 875	jigsaws
product	 876	power workshop grinders, buffers, polishers, n.s.
product	 877	trouble lights or extension work lights
product	 878	levels
product	 879	vises or workshop clamps
product	 880	drain snakes
product	 881	other manual workshop tools
product	 882	nail guns or stud drivers
product	 883	battery chargers
product	 884	batteries
product	 885	chains, not elsewhere classified
product	 886	stretch cords or straps
product	 887	painting equip., powered (sprayers, rollers, brushes)
product	 888	sprayers, not elsewhere classified
product	 889	batteries, motor vehicle                
product	 890	torches, not specified
product	 891	batteries, not specified                
product	 892	batteries, non-motor vehicle            
product	 893	tools, not specified
product	 894	hacksaws                                
product	 895	power saws, other or not specified      
product	 896	welding equipment                       
product	 897	power workshop grinders, buffers or poli
product	 898	manual workshop grinders, buffers or pol
product	 899	workshop grinders, buffers or polishers,
product	 904	floor waxes
product	 905	furniture polishes or waxes
product	 908	paint or varnish thinners
product	 909	adhesives
product	 910	gasoline
product	 913	lubricants
product	 914	dry ice
product	 915	methyl alcohol (solvent)
product	 917	charcoal
product	 920	caulking or spackling compounds
product	 921	chemicals, not elsewhere classified
product	 925	paintbrushes or rollers, manual
product	 926	photographic chemicals
product	 927	tapes (with adhesive surfaces)
product	 929	drain cleaners
product	 930	ammonia, household
product	 931	metal polishes, tarnish removers or preventatives
product	 932	shoe polishes
product	 933	turpentine
product	 934	dishwasher detergents
product	 936	acids
product	 937	rust removers
product	 938	swimming pool chemicals
product	 940	lighter fluids
product	 941	fuels for chafing dishes or fondue pots
product	 942	oven cleaners
product	 945	pine oil cleaning and disinfectant preparations
product	 949	laundry soaps or detergents
product	 951	toilet bowl products
product	 952	fabric treatment products
product	 953	abrasive cleaners
product	 954	general purpose household cleaners
product	 955	automotive chemicals
product	 956	bleaches (noncosmetic)
product	 957	dyes (noncosmetic)
product	 958	other polishes
product	 959	polishes, not specified
product	 960	paints, varnishes or shellacs
product	 961	rust preventatives
product	 962	diesel fuels
product	 963	kerosene
product	 964	lamp oils
product	 965	fuel oils, not specified
product	 966	antifreeze
product	 967	windshield wiper fluids
product	 968	caustics
product	 969	lye
product	 970	wallpaper cleaners (chemical)
product	 971	wallpaper steamers
product	 972	paint or varnish removers, paintbrush cleaners
product	 973	liquid room deodorizers or fresheners
product	 974	solid room deodorizers or fresheners
product	 975	room deodorizers or fresheners, not specified
product	 976	detergents, not specified
product	 977	spot removers or cleaning fluids
product	 978	automotive waxes, polishes or cleaners
product	 979	dishwashing liquid
product	 980	fuel storage tanks
