hms	stf	rlg	country	region	region_name	weight
0.5412529753569445	7.097168604983733	6.252493785828547	POLAND	PL41	WIELKOPOLSKIE	259.8984204338631
0.8098922105362992	6.366835373136377	4.526897565072268	FRANCE	FR51	PAYS DE LA LOIRE	253.83552781804394
0.843197131813636	7.4218401366201485	3.4126661077902325	UNITED KINGDOM	UKL	WALES	253.65933603471623
0.8591688785135366	6.370098933190216	4.852405045393646	ITALY	ITC3	LIGURIA	248.39452964607398
0.8415070610654635	7.000613206317455	3.792021387110144	SPAIN	ES11	GALICIA	244.10870563935956
0.8624487618986605	7.539363595430109	4.3603905879592375	GERMANY	DEF	SCHLESWIG-HOLSTEIN	238.00154300386384
0.2538590749149632	5.010080149778434	4.371960010234568	UKRAINE	UA20		237.91519104229465
0.7449488933054064	7.056499132099938	6.659103361805101	ITALY	ITF5	BASILICATA	236.81809217157473
0.5547617113873049	7.3094749318707795	5.49046577063883	POLAND	PL11	ŁÓDZKIE	235.72507624693517
0.7867037712680913	6.44974935495722	4.226059168936229	FRANCE	FR61	AQUITAINE	230.8179334775818
0.5905630994279852	6.884171359376017	5.895655735511512	POLAND	PL51	DOLNOŚLĄSKIE	225.88669695827943
0.9490696128583277	7.767913614478781	3.762287717286245	NETHERLANDS	NL32	NOORD-HOLLAND	225.22055160821665
0.819566784737005	6.556017308203495	4.432351613264194	FRANCE	FR81	LANGUEDOC-ROUSSILLON	223.64940798252516
0.8707546237245269	7.109189390030006	2.392642752435027	GERMANY	DE4	BRANDENBURG	217.56938662797228
0.3240562126208975	5.365044047065487	4.035833826984257	UKRAINE	UA04		217.53599794008565
0.8800121053892217	7.061209383459762	3.725298155080962	UNITED KINGDOM	UKC	NORTH EAST	214.59655638558968
0.8084887760885668	6.336778881532643	3.9906611578782845	FRANCE	FR24	CENTRE	211.1535827636071
0.7277627242989688	6.149369835905632	4.0293588781196945	FRANCE	FR22	PICARDIE	208.99901434584126
0.795288872902232	6.208931585411094	4.2583849617549685	PORTUGAL	PT17	ÁREA METROPOLITANA DE LISBOA	206.17259484361793
0.2620613706309258	5.562348136114673	4.192479970719907	UKRAINE	UA12		204.2493494155608
0.9354503842834552	7.910970443618948	4.108103258968169	NETHERLANDS	NL41	NOORD-BRABANT	203.7470804581136
0.7580548995551245	6.070454737576744	4.920396520447104	FRANCE	FR41	LORRAINE	201.47572409220498
0.8331300889899013	6.709624606076989	2.2462060014598366	GERMANY	DEE	SACHSEN-ANHALT	198.9135613566165
0.37963138174295824	7.155721979617413	6.428483274152657	POLAND	PL31	LUBELSKIE	198.82615023541067
0.8188283523352141	7.136179947447967	4.528199888641467	SPAIN	ES41	CASTILLA Y LEÓN	197.60694886136923
0.829431902134117	6.822615141137165	2.9437441447007466	GERMANY	DEG	THÜRINGEN	190.70349228915572
0.46567937634529477	6.867730466869961	6.500114656699138	POLAND	PL63	POMORSKIE	183.41892774883695
0.8026862132830169	7.052686669987527	5.034170703441592	FRANCE	FR42	ALSACE	181.92434271188492
