"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1697,,
"FIN","Finland","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1693,,
"FIN","Finland","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1691,,
"FIN","Finland","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1685,,
"FIN","Finland","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1661,,
"FIN","Finland","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1668,,
"FIN","Finland","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1662,,
"FIN","Finland","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1650,,
"FIN","Finland","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1640,,
"FIN","Finland","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1636,,
"FIN","Finland","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1641,,
"FIN","Finland","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1653,,
"FRA","France","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1428,,
"FRA","France","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1423,,
"FRA","France","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1389,,
"FRA","France","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1388,,
"FRA","France","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1415,,
"FRA","France","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1411,,
"FRA","France","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1390,,
"FRA","France","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1407,,
"FRA","France","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1416,,
"FRA","France","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1399,,
"FRA","France","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1404,,
"FRA","France","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1407,,
"FRA","France","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1403,,
"FRA","France","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1389,,
"FRA","France","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1387,,
"FRA","France","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1399,,
"FRA","France","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1383,,
"FRA","France","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1535,,
"FRA","France","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1526,,
"FRA","France","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1487,,
"FRA","France","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1484,,
"FRA","France","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1513,,
"FRA","France","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1507,,
"FRA","France","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1484,,
"FRA","France","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1500,,
"FRA","France","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1507,,
"FRA","France","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1489,,
"FRA","France","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1494,,
"FRA","France","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1496,,
"FRA","France","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1490,,
"FRA","France","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1474,,
"FRA","France","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1473,,
"FRA","France","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1482,,
"FRA","France","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1472,,
"DEU","Germany","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1360,,
"DEU","Germany","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1353,,
"DEU","Germany","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1345,,
"DEU","Germany","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1339,,
"DEU","Germany","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1335,,
"DEU","Germany","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1324,,
"DEU","Germany","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1344,,
"DEU","Germany","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1346,,
"DEU","Germany","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1340,,
"DEU","Germany","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1289,,
"DEU","Germany","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1310,,
"DEU","Germany","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1315,,
"DEU","Germany","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1301,,
