wday,age,school,industry,employment,start,end,n,count
1,20,-1,-1,-1,13,15.5,0.02295488409798101,1
1,20,-1,-1,-1,13.5,14,0.03988307194979125,1
1,20,-1,-1,-1,13.5,15,0.12708985498819836,2
1,20,-1,-1,-1,13.5,16,0.06227823187215978,1
1,20,-1,-1,-1,13.5,18.5,0.044996910249273464,1
1,20,-1,-1,-1,14,14.5,0.043903561060093244,1
1,20,-1,-1,-1,14,15,0.048529188930381835,1
1,20,-1,-1,-1,14,15.5,0.022094166120631704,1
1,20,-1,-1,-1,14,16,0.04644136538195893,1
1,20,-1,-1,-1,14,17,0.03657341664084768,1
1,20,-1,-1,-1,14,18,0.07153331714322145,2
1,20,-1,-1,-1,14.5,15,0.03613391783941672,2
1,20,-1,-1,-1,14.5,16.5,0.019639488140482594,1
1,20,-1,-1,-1,14.5,18.5,0.02231481272563212,1
1,20,-1,-1,-1,15,7,0.10430911605362043,1
1,20,-1,-1,-1,15,15,0.02241706483673979,1
1,20,-1,-1,-1,15,16,0.08365230766917628,2
1,20,-1,-1,-1,15,18,0.08388495346969475,1
1,20,-1,-1,-1,15,18.5,0.07367287217773191,1
1,20,-1,-1,-1,15.5,16.5,0.08137106730108361,3
1,20,-1,-1,-1,15.5,17.5,0.02700667323744287,1
1,20,-1,-1,-1,16,17,0.007830405104363707,1
1,20,-1,-1,-1,16,17.5,0.04441272084462295,1
1,20,-1,-1,-1,16,18,0.0411952806297458,1
1,20,-1,-1,-1,16,19,0.030285918427167737,1
1,20,-1,-1,-1,16.5,17,0.06334698453411393,2
1,20,-1,-1,-1,16.5,18.5,0.034925617086607894,1
1,20,-1,-1,-1,17,9.5,0.07223196209612352,1
1,20,-1,-1,-1,17,19,0.06240281926392173,2
1,20,-1,-1,-1,18,1,0.06015155864876474,1
1,20,-1,-1,-1,18,3.5,0.05425984423424238,1
1,20,-1,-1,-1,18,7,0.03803483112282158,1
1,20,-1,-1,-1,18.5,5.5,0.019549971953614763,1
1,20,-1,-1,-1,18.5,8,0.060199818027213046,1
1,20,-1,-1,-1,18.5,10,0.025023122333354686,1
1,20,-1,-1,-1,19,8,0.07535744251896655,2
1,20,-1,-1,-1,19,9,0.04644136538195893,1
1,20,-1,-1,-1,19,21,0.04183516234915641,1
1,20,-1,-1,-1,19.5,12,0.016127480440738775,1
1,20,-1,-1,-1,20,0,0.020007152244368376,1
1,20,-1,-1,-1,20,2.5,0.009282227524266945,1
1,20,-1,-1,-1,20,5,0.02700667323744287,1
1,20,-1,-1,-1,20,6,0.03857508669488531,1
1,20,-1,-1,-1,20,7,0.08565272309608377,2
1,20,-1,-1,-1,20,8,0.013355505800504602,1
1,20,-1,-1,-1,20,9,0.03013358335166677,1
1,20,-1,-1,-1,20,10,0.08653153104600741,2
1,20,-1,-1,-1,20,12,0.03047426567791043,1
1,20,-1,-1,-1,20.5,3,0.11854180316538575,2
1,20,-1,-1,-1,20.5,4.5,0.030333929797927522,1
1,20,-1,-1,-1,20.5,6,0.2995539712180958,3
1,20,-1,-1,-1,20.5,6.5,0.03448675289308579,1
1,20,-1,-1,-1,20.5,7.5,0.04945281332848963,2
1,20,-1,-1,-1,20.5,10,0.061271984442056227,1
1,20,-1,-1,-1,20.5,12,0.03892768797886545,1
1,20,-1,-1,-1,20.5,21,0.027469032512280264,1
1,20,-1,-1,-1,21,0,0.16224286594780316,3
1,20,-1,-1,-1,21,1,0.02933725254686329,1
1,20,-1,-1,-1,21,3.5,0.02686840895109347,1
1,20,-1,-1,-1,21,4,0.1711402365998949,3
1,20,-1,-1,-1,21,4.5,0.05520552672794082,2
1,20,-1,-1,-1,21,5,0.11747144574780001,2
1,20,-1,-1,-1,21,5.5,0.08699510847625606,2
1,20,-1,-1,-1,21,6,0.06744233549462979,3
1,20,-1,-1,-1,21,6.5,0.2205330101847316,5
1,20,-1,-1,-1,21,7,0.22917844149700684,8
1,20,-1,-1,-1,21,7.5,0.04611487055436732,2
1,20,-1,-1,-1,21,8,0.39734081330913407,9
1,20,-1,-1,-1,21,8.5,0.03131607671618205,2
1,20,-1,-1,-1,21,9,0.27725804354851,7
1,20,-1,-1,-1,21,9.5,0.17059380271864955,3
1,20,-1,-1,-1,21,10,0.11038146030316628,2
1,20,-1,-1,-1,21,10.5,0.03476749759648941,1
1,20,-1,-1,-1,21.5,0,0.016946161114884097,1
1,20,-1,-1,-1,21.5,1,0.025932347696840816,1
1,20,-1,-1,-1,21.5,3,0.019558783520900968,1
1,20,-1,-1,-1,21.5,4,0.014190751929374242,1
1,20,-1,-1,-1,21.5,5,0.05719699928937405,1
1,20,-1,-1,-1,21.5,5.5,0.027159708569946713,1
1,20,-1,-1,-1,21.5,6,0.3064095164536412,8
1,20,-1,-1,-1,21.5,6.5,0.040189791811395356,2
1,20,-1,-1,-1,21.5,7,0.10499175721626926,5
1,20,-1,-1,-1,21.5,7.5,0.029568548893782465,2
1,20,-1,-1,-1,21.5,8,0.034992921996665705,1
1,20,-1,-1,-1,21.5,8.5,0.03690466008624005,2
1,20,-1,-1,-1,21.5,9,0.1834007519838688,5
1,20,-1,-1,-1,21.5,10,0.1370012634295507,3
1,20,-1,-1,-1,22,1,0.054538342279761766,2
1,20,-1,-1,-1,22,2,0.027469032512280264,1
1,20,-1,-1,-1,22,2.5,0.03699475982061028,1
1,20,-1,-1,-1,22,3,0.04201034330937625,1
1,20,-1,-1,-1,22,4,0.055631319457409206,1
1,20,-1,-1,-1,22,5,0.04433556857046217,1
1,20,-1,-1,-1,22,5.5,0.02331881349785145,1
1,20,-1,-1,-1,22,6,0.2848320014086012,7
1,20,-1,-1,-1,22,6.5,0.13098665391102335,3
1,20,-1,-1,-1,22,7,0.3708661311522522,9
1,20,-1,-1,-1,22,7.5,0.0674848031641168,3
1,20,-1,-1,-1,22,8,0.353739989398941,8
1,20,-1,-1,-1,22,8.5,0.15148638589650956,3
1,20,-1,-1,-1,22,9,0.19856907727794754,6
1,20,-1,-1,-1,22,9.5,0.08354942095015976,3
1,20,-1,-1,-1,22,10,0.20928696295630128,4
1,20,-1,-1,-1,22,10.5,0.03375272307850706,1
1,20,-1,-1,-1,22,11,0.07325111322037385,2
1,20,-1,-1,-1,22,12,0.123665751425347,2
1,20,-1,-1,-1,22,13,0.032467131459005635,1
1,20,-1,-1,-1,22,19,0.037642927914554945,1
1,20,-1,-1,-1,22,22,0.010373096636561975,1
1,20,-1,-1,-1,22,23.5,0.011466577123930236,1
1,20,-1,-1,-1,22.5,1.5,0.024082502114239547,1
1,20,-1,-1,-1,22.5,2,0.068085711204711,3
1,20,-1,-1,-1,22.5,2.5,0.02767668789100855,1
1,20,-1,-1,-1,22.5,3,0.025346794249903448,1
1,20,-1,-1,-1,22.5,5,0.04657919200768153,1
1,20,-1,-1,-1,22.5,5.5,0.02691809072657887,1
1,20,-1,-1,-1,22.5,6,0.07764159333022744,2
1,20,-1,-1,-1,22.5,6.5,0.16383329548821343,5
1,20,-1,-1,-1,22.5,7,0.24142431713301432,7
1,20,-1,-1,-1,22.5,7.5,0.13635116233450434,3
1,20,-1,-1,-1,22.5,8,0.12103312792868544,5
1,20,-1,-1,-1,22.5,8.5,0.10983847664652883,3
1,20,-1,-1,-1,22.5,9,0.37668660900541934,9
1,20,-1,-1,-1,22.5,9.5,0.07367287217773191,1
1,20,-1,-1,-1,22.5,10,0.14910323625146688,4
1,20,-1,-1,-1,22.5,10.5,0.16586484317437386,2
1,20,-1,-1,-1,22.5,11,0.041264803020312726,1
1,20,-1,-1,-1,22.5,12,0.0860732566036868,1
1,20,-1,-1,-1,23,0.5,0.020522935293050302,1
1,20,-1,-1,-1,23,2,0.15553804373778338,4
1,20,-1,-1,-1,23,3,0.09713615744848952,3
1,20,-1,-1,-1,23,5,0.10503855043161779,1
1,20,-1,-1,-1,23,5.5,0.030098315199490598,1
1,20,-1,-1,-1,23,6,0.2016418706556678,7
1,20,-1,-1,-1,23,6.5,0.2624049579095704,5
1,20,-1,-1,-1,23,7,0.19694450291430318,6
1,20,-1,-1,-1,23,7.5,0.10693025095882853,2
1,20,-1,-1,-1,23,8,0.24205498609623083,5
1,20,-1,-1,-1,23,8.5,0.1282801168288393,4
1,20,-1,-1,-1,23,9,0.10372344589718259,3
1,20,-1,-1,-1,23,9.5,0.1795454432884643,4
1,20,-1,-1,-1,23,10,0.05899938787134281,2
1,20,-1,-1,-1,23,11,0.13611482559603322,5
1,20,-1,-1,-1,23,11.5,0.0284707355662089,1
1,20,-1,-1,-1,23,12,0.11271521994647477,2
1,20,-1,-1,-1,23,23.5,0.06715519365173113,1
1,20,-1,-1,-1,23.5,1,0.06502668225370355,1
1,20,-1,-1,-1,23.5,3.5,0.06808371984885908,2
1,20,-1,-1,-1,23.5,4,0.01858498862627451,1
1,20,-1,-1,-1,23.5,5,0.049058342511212445,2
1,20,-1,-1,-1,23.5,6,0.1860326022800897,4
1,20,-1,-1,-1,23.5,6.5,0.047713396816373384,1
1,20,-1,-1,-1,23.5,7,0.03896508607942537,2
1,20,-1,-1,-1,23.5,7.5,0.02513753411554357,1
1,20,-1,-1,-1,23.5,8,0.11431021574609133,3
1,20,-1,-1,-1,23.5,9,0.3418613402061926,8
1,20,-1,-1,-1,23.5,9.5,0.03112059559722254,1
1,20,-1,-1,-1,23.5,10,0.1934352889482271,4
1,20,-1,-1,-1,23.5,10.5,0.13786309744149836,1
1,20,-1,-1,-1,23.5,11,0.02393874518702383,1
1,20,-1,-1,-1,23.5,12.5,0.05515553859001666,1
1,20,-1,-1,0,0,2,0.02460654965442418,1
1,20,-1,-1,0,0,5,0.08315551909169741,1
1,20,-1,-1,0,0,5.5,0.1057611500094933,2
1,20,-1,-1,0,0,6,0.17055163411725752,3
1,20,-1,-1,0,0,6.5,0.04361590131878621,1
1,20,-1,-1,0,0,7,0.06094707978140865,2
1,20,-1,-1,0,0,7.5,0.13554302928146486,4
1,20,-1,-1,0,0,8,0.08426051734789425,2
1,20,-1,-1,0,0,8.5,0.2202730105950382,3
1,20,-1,-1,0,0,9,0.3134011814384646,5
1,20,-1,-1,0,0,9.5,0.05122587135411912,3
